
client-address,client-guid,request-time,service-guid,retries-request,packets-requested,packets-serviced,max-hole-size
115.89.140.166,b7dde0a3-6c73-438a-9669-5e1d3efdc5a4,2016-06-29 03:19:54 ADT,3cc76b74-7d16-4651-9699-34332a56f6e7,6,15,0,15
115.89.140.166,b7dde0a3-6c73-438a-9669-5e1d3efdc5a4,2016-06-29 02:29:21 ADT,8232ac92-6020-4101-88c0-74d51ea1542b,6,16,13,11
60.130.118.153,8bf2b921-0ee0-493d-8012-8a4459bfda3e,2016-06-28 18:58:17 ADT,50b89ee3-f4cb-46d9-8d5c-319f6a032406,6,13,13,15
30.158.17.185,43dbdc48-1ad3-4381-8de3-8980ea5b862b,2016-06-28 20:15:40 ADT,185ec7fa-2efc-424e-835f-de882857f55e,8,15,11,14
229.8.97.235,24113397-eb06-4020-bf79-22f576fea3e2,2016-06-29 01:19:06 ADT,50b89ee3-f4cb-46d9-8d5c-319f6a032406,3,8,8,18
181.249.184.32,13162eaf-cf91-4e40-a8e4-3c7a3598c090,2016-06-29 08:57:24 ADT,c5a5edbb-338d-449a-99cb-1baeba48abb2,8,18,8,16
35.237.168.156,beb7dd72-5518-44b3-9c4e-bf51440e4fbb,2016-06-29 01:51:38 ADT,52073b51-cd51-4438-bd54-3bce3a7c239f,4,13,17,13
189.244.232.201,21d7ba77-d509-4bac-b943-b94319f79acc,2016-06-29 02:57:38 ADT,3cc76b74-7d16-4651-9699-34332a56f6e7,7,11,12,11
42.231.39.19,13c04d34-1386-4b4b-bf2b-dd224fe7c263,2016-06-28 14:14:33 ADT,9e3d54d8-bcea-4bd5-94f5-bd636df152fa,6,10,3,16
145.18.221.103,b395e901-75a6-4005-9df4-edb8a343f87a,2016-06-29 08:06:50 ADT,c5a5edbb-338d-449a-99cb-1baeba48abb2,5,16,13,10
117.110.166.17,4301a51b-fd22-44bb-b64c-3dca8fbacdf6,2016-06-28 22:35:43 ADT,8de44210-f265-4f16-a94b-8b0eadc0de23,6,15,14,17
224.132.246.252,5b552447-ee78-4c84-97d6-6078a9351b8b,2016-06-29 08:56:39 ADT,8151ff61-4777-4187-b719-e750b91281c8,7,7,15,4
166.160.242.208,15d7c9ed-bc30-4f87-9452-1e8c3c7fbe0b,2016-06-28 16:02:16 ADT,50b89ee3-f4cb-46d9-8d5c-319f6a032406,6,14,15,2
94.92.22.194,f16afb1c-f977-44a4-bf92-9b4009ebab51,2016-06-28 10:12:48 ADT,e16b762f-d0a2-4e1f-95a2-2ee9985c6aff,4,9,6,13
139.199.67.14,b4dce314-e569-4a2a-b5c3-b369b59c9ca3,2016-06-28 16:08:57 ADT,b3be9c1c-5712-420d-a359-e9ef0e93c9c5,6,12,10,15
195.253.189.63,85abf514-5509-4a3c-a1ee-6b10b72f1b72,2016-06-28 14:09:09 ADT,9e3d54d8-bcea-4bd5-94f5-bd636df152fa,8,16,11,4
197.212.243.81,4eb26a85-4e57-45c2-969a-9d9dc6bb264c,2016-06-28 15:56:24 ADT,d224de85-cd41-4f03-bff6-de9815877975,7,3,9,14
226.62.150.59,7a31a821-d6c7-42a5-a00f-34263f2cb438,2016-06-28 13:14:59 ADT,0342f6df-6e8c-48c3-8390-667eb678638b,7,6,14,16
156.80.210.99,9dc02e96-af25-4344-ac83-58a048464b6c,2016-06-28 15:42:11 ADT,52073b51-cd51-4438-bd54-3bce3a7c239f,6,9,15,11
107.225.10.253,9bc628b7-e57b-4624-bb76-73f796808ca2,2016-06-28 23:57:49 ADT,3cc76b74-7d16-4651-9699-34332a56f6e7,5,10,8,2
65.38.190.30,a0dc0c76-856e-4a33-af88-6aa5a2f71d5d,2016-06-29 04:47:45 ADT,8232ac92-6020-4101-88c0-74d51ea1542b,5,4,18,16
93.12.96.248,63692772-093d-43a4-a8d2-ca1f75394702,2016-06-29 09:09:52 ADT,7f386bb2-4bbf-4f14-b56e-3dad78f28674,5,19,15,13
166.224.30.98,c6379614-8ad6-4318-b21f-8f977ce874ec,2016-06-28 22:58:23 ADT,318e9d5d-53f9-43eb-a9d1-88b5c51687f8,6,12,16,13
203.99.237.72,0b8eeb97-cc5c-4ae6-9b0a-f16efc3e3383,2016-06-29 04:17:55 ADT,2536e29e-3570-4d53-be7c-b9d059c632a7,7,10,4,12
254.118.151.41,d3c0ca30-8a57-4535-9167-69e950df32ae,2016-06-28 18:47:36 ADT,35501e3f-e06c-4cb5-9062-e8611a591cab,6,6,9,10
121.160.149.186,253462d8-f8c4-41d5-9d0d-56ae360b8138,2016-06-28 17:08:57 ADT,fa005302-61ce-44ca-88a5-015fd4392f37,7,8,17,15
188.142.186.200,19c26d80-eedb-43fd-a6fc-ce7d1e99b5ae,2016-06-28 15:26:42 ADT,e16b762f-d0a2-4e1f-95a2-2ee9985c6aff,9,6,14,12
44.53.33.231,849f679f-02b2-485f-8e0c-66d138bc7bb7,2016-06-29 06:07:39 ADT,8232ac92-6020-4101-88c0-74d51ea1542b,6,14,0,13
107.10.23.203,fdaa780e-976b-4c42-b25a-15f1cd5f5fe8,2016-06-29 05:30:39 ADT,8232ac92-6020-4101-88c0-74d51ea1542b,5,7,7,13
189.163.78.17,1622d850-f41b-4315-89fe-b2eee1c659a4,2016-06-28 23:49:06 ADT,c5a5edbb-338d-449a-99cb-1baeba48abb2,8,13,8,2
66.66.0.223,3ef951dd-3101-491b-82d2-9524f014d933,2016-06-29 04:51:07 ADT,8de44210-f265-4f16-a94b-8b0eadc0de23,5,18,14,12
30.158.17.185,43dbdc48-1ad3-4381-8de3-8980ea5b862b,2016-06-28 23:09:07 ADT,185ec7fa-2efc-424e-835f-de882857f55e,6,8,7,11
226.62.150.59,7a31a821-d6c7-42a5-a00f-34263f2cb438,2016-06-29 03:31:46 ADT,e16b762f-d0a2-4e1f-95a2-2ee9985c6aff,5,11,9,18
48.240.206.11,255b90f8-e6e7-4be3-88de-0e1c35413af5,2016-06-29 01:01:36 ADT,50b89ee3-f4cb-46d9-8d5c-319f6a032406,5,12,3,12
1.39.43.77,903b19e4-9999-40e7-b310-40ba293a8b37,2016-06-28 23:47:10 ADT,52073b51-cd51-4438-bd54-3bce3a7c239f,2,11,7,12
168.150.100.132,3a33932e-9887-4b81-9490-aca35a8b58c2,2016-06-28 22:22:54 ADT,b3be9c1c-5712-420d-a359-e9ef0e93c9c5,3,15,15,11
203.99.237.72,0b8eeb97-cc5c-4ae6-9b0a-f16efc3e3383,2016-06-28 23:54:16 ADT,50b89ee3-f4cb-46d9-8d5c-319f6a032406,1,4,10,8
119.155.118.53,1f462900-ab9d-479b-aecb-2de45d875881,2016-06-29 00:44:45 ADT,0342f6df-6e8c-48c3-8390-667eb678638b,8,11,19,11
63.112.127.116,1eafc017-80fb-4121-910b-de0f6df88819,2016-06-28 12:23:57 ADT,8232ac92-6020-4101-88c0-74d51ea1542b,7,3,15,17
140.214.11.29,4cb4360f-7947-4c97-a4cd-9544bbd17eb5,2016-06-29 09:00:39 ADT,b3be9c1c-5712-420d-a359-e9ef0e93c9c5,5,2,14,9
195.253.189.63,85abf514-5509-4a3c-a1ee-6b10b72f1b72,2016-06-28 09:34:40 ADT,8232ac92-6020-4101-88c0-74d51ea1542b,5,16,14,13
51.133.236.80,1354c83f-66b0-41ac-a3f9-895f863c2acc,2016-06-28 15:22:27 ADT,8151ff61-4777-4187-b719-e750b91281c8,5,19,7,13
48.240.206.11,255b90f8-e6e7-4be3-88de-0e1c35413af5,2016-06-29 04:09:50 ADT,db7b9cde-0a4b-459a-a301-88a447410499,6,12,16,14
240.239.146.238,542ad590-4084-4689-8124-503b9aa79f8e,2016-06-28 22:50:23 ADT,98279a79-c822-45b4-8429-45ce97a336e5,4,10,12,13
145.157.137.136,7acbeb5f-ce5f-4805-b24b-6ba979dbd383,2016-06-28 16:29:59 ADT,8de44210-f265-4f16-a94b-8b0eadc0de23,6,15,9,10
191.35.181.185,107866ff-4915-483f-84bc-da259966a282,2016-06-28 19:35:11 ADT,318e9d5d-53f9-43eb-a9d1-88b5c51687f8,7,6,12,17
192.41.186.24,3c2905c7-1561-4683-a885-34fe7f6a2e32,2016-06-28 23:57:03 ADT,7f386bb2-4bbf-4f14-b56e-3dad78f28674,6,9,13,12
108.215.182.159,97fee10a-afef-4205-a9c2-8e058acf9c39,2016-06-28 18:26:44 ADT,7f386bb2-4bbf-4f14-b56e-3dad78f28674,7,11,15,10
79.200.199.206,a3ecf55a-6220-428c-8db9-8079d7ebd878,2016-06-28 09:28:13 ADT,318e9d5d-53f9-43eb-a9d1-88b5c51687f8,2,13,12,19
181.249.184.32,13162eaf-cf91-4e40-a8e4-3c7a3598c090,2016-06-29 02:42:32 ADT,8de44210-f265-4f16-a94b-8b0eadc0de23,9,11,8,7
86.180.189.129,710ea431-4d00-4816-990c-47f0de23e4c5,2016-06-28 22:46:01 ADT,8151ff61-4777-4187-b719-e750b91281c8,1,6,7,11
164.170.92.72,f6bf1522-c2f8-4c2e-af24-9a65ce7d12b0,2016-06-29 01:48:33 ADT,52073b51-cd51-4438-bd54-3bce3a7c239f,7,10,3,15
180.226.111.28,7ee9b8a3-4e4a-40ee-8339-38e3624fc7bd,2016-06-29 03:06:47 ADT,b3be9c1c-5712-420d-a359-e9ef0e93c9c5,7,13,13,8
93.12.96.248,63692772-093d-43a4-a8d2-ca1f75394702,2016-06-29 00:57:24 ADT,2536e29e-3570-4d53-be7c-b9d059c632a7,5,6,16,16
10.65.7.118,1d68b9c2-e8c5-4ed3-afae-50650bc4887e,2016-06-28 21:41:57 ADT,8de44210-f265-4f16-a94b-8b0eadc0de23,6,19,16,11
75.175.93.93,074d853b-eba6-472b-b588-adcc0ad69402,2016-06-28 09:54:33 ADT,98279a79-c822-45b4-8429-45ce97a336e5,7,11,6,7
30.158.17.185,43dbdc48-1ad3-4381-8de3-8980ea5b862b,2016-06-28 21:54:28 ADT,fa005302-61ce-44ca-88a5-015fd4392f37,3,11,16,15
246.120.142.242,fa441031-7542-4258-82c0-823a08efab5c,2016-06-28 23:10:07 ADT,fa005302-61ce-44ca-88a5-015fd4392f37,2,10,3,7
195.253.189.63,85abf514-5509-4a3c-a1ee-6b10b72f1b72,2016-06-29 08:09:15 ADT,2536e29e-3570-4d53-be7c-b9d059c632a7,7,14,1,6
156.80.210.99,9dc02e96-af25-4344-ac83-58a048464b6c,2016-06-28 14:15:22 ADT,318e9d5d-53f9-43eb-a9d1-88b5c51687f8,7,10,7,5
58.137.70.112,da911b08-851c-4e0a-a567-7a5b5afd1589,2016-06-29 04:37:03 ADT,8de44210-f265-4f16-a94b-8b0eadc0de23,6,12,8,8
44.53.33.231,849f679f-02b2-485f-8e0c-66d138bc7bb7,2016-06-28 22:38:35 ADT,2536e29e-3570-4d53-be7c-b9d059c632a7,8,16,14,10
48.25.41.90,9f82fc47-7422-40b1-b6a4-f8b070febddd,2016-06-29 04:13:33 ADT,98279a79-c822-45b4-8429-45ce97a336e5,6,17,12,13
42.231.39.19,13c04d34-1386-4b4b-bf2b-dd224fe7c263,2016-06-28 17:07:59 ADT,8151ff61-4777-4187-b719-e750b91281c8,2,6,15,18
60.21.167.133,a2baa715-405b-4f6b-86b4-ec77e30b563e,2016-06-29 00:15:02 ADT,b3be9c1c-5712-420d-a359-e9ef0e93c9c5,8,18,14,16
138.245.228.58,607c9370-5251-4f08-9468-709de19594b1,2016-06-29 01:28:45 ADT,b3be9c1c-5712-420d-a359-e9ef0e93c9c5,5,8,1,14
66.66.0.223,3ef951dd-3101-491b-82d2-9524f014d933,2016-06-28 17:02:15 ADT,98279a79-c822-45b4-8429-45ce97a336e5,3,16,11,10
254.118.151.41,d3c0ca30-8a57-4535-9167-69e950df32ae,2016-06-28 21:58:55 ADT,9e3d54d8-bcea-4bd5-94f5-bd636df152fa,1,17,15,12
126.61.44.116,e1fd3f79-1500-4466-a687-721d97b92d2b,2016-06-28 20:37:58 ADT,0342f6df-6e8c-48c3-8390-667eb678638b,4,11,4,8
12.74.212.73,2fbba381-9354-41ee-997f-b03aed004c27,2016-06-28 23:42:41 ADT,db7b9cde-0a4b-459a-a301-88a447410499,3,16,8,9
203.99.237.72,0b8eeb97-cc5c-4ae6-9b0a-f16efc3e3383,2016-06-28 12:55:34 ADT,52073b51-cd51-4438-bd54-3bce3a7c239f,5,9,15,4
156.80.210.99,9dc02e96-af25-4344-ac83-58a048464b6c,2016-06-29 03:04:17 ADT,98279a79-c822-45b4-8429-45ce97a336e5,3,9,13,16
180.226.111.28,7ee9b8a3-4e4a-40ee-8339-38e3624fc7bd,2016-06-28 21:07:59 ADT,d224de85-cd41-4f03-bff6-de9815877975,4,17,14,12
2.63.218.165,e5ffcd07-35de-4825-a4e3-534527e39dc6,2016-06-28 18:03:13 ADT,8151ff61-4777-4187-b719-e750b91281c8,7,16,12,15
197.212.243.81,4eb26a85-4e57-45c2-969a-9d9dc6bb264c,2016-06-28 19:12:41 ADT,3cc76b74-7d16-4651-9699-34332a56f6e7,2,4,12,18
226.62.150.59,7a31a821-d6c7-42a5-a00f-34263f2cb438,2016-06-28 15:16:50 ADT,e16b762f-d0a2-4e1f-95a2-2ee9985c6aff,7,13,10,17
145.41.16.85,dfe0a42f-4e71-4c62-a68e-f4dd96d89703,2016-06-28 23:24:43 ADT,35501e3f-e06c-4cb5-9062-e8611a591cab,4,11,14,10
254.118.151.41,d3c0ca30-8a57-4535-9167-69e950df32ae,2016-06-29 08:29:50 ADT,7f386bb2-4bbf-4f14-b56e-3dad78f28674,4,16,16,15
189.244.232.201,21d7ba77-d509-4bac-b943-b94319f79acc,2016-06-28 13:53:37 ADT,8151ff61-4777-4187-b719-e750b91281c8,6,12,11,11
167.133.116.248,553f4b0e-eef6-41ac-ae2a-ddbff89e9105,2016-06-28 13:17:36 ADT,318e9d5d-53f9-43eb-a9d1-88b5c51687f8,3,15,6,15
140.223.53.70,71058018-ea7d-4f5a-8b02-8c22b88a4427,2016-06-28 12:37:37 ADT,3cc76b74-7d16-4651-9699-34332a56f6e7,8,5,15,6
93.12.96.248,63692772-093d-43a4-a8d2-ca1f75394702,2016-06-29 08:58:12 ADT,185ec7fa-2efc-424e-835f-de882857f55e,7,7,14,16
197.212.243.81,4eb26a85-4e57-45c2-969a-9d9dc6bb264c,2016-06-28 20:50:04 ADT,52073b51-cd51-4438-bd54-3bce3a7c239f,4,9,15,8
107.10.23.203,fdaa780e-976b-4c42-b25a-15f1cd5f5fe8,2016-06-29 08:06:35 ADT,db7b9cde-0a4b-459a-a301-88a447410499,7,14,18,13
9.101.131.209,6949c7c0-6852-4ffa-a46f-9a64190e8b78,2016-06-29 03:24:49 ADT,3cc76b74-7d16-4651-9699-34332a56f6e7,2,11,9,17
100.244.243.255,0ab47f58-2c17-4b8d-9bd1-20ca3b924877,2016-06-29 05:03:24 ADT,e16b762f-d0a2-4e1f-95a2-2ee9985c6aff,4,7,9,9
191.35.181.185,107866ff-4915-483f-84bc-da259966a282,2016-06-28 13:04:30 ADT,35501e3f-e06c-4cb5-9062-e8611a591cab,6,11,11,13
237.62.58.106,2efcbf4a-b254-4887-876a-8b5d5901ea18,2016-06-29 07:09:45 ADT,318e9d5d-53f9-43eb-a9d1-88b5c51687f8,1,17,15,11
226.62.150.59,7a31a821-d6c7-42a5-a00f-34263f2cb438,2016-06-29 08:06:06 ADT,fa005302-61ce-44ca-88a5-015fd4392f37,6,6,15,15
240.239.146.238,542ad590-4084-4689-8124-503b9aa79f8e,2016-06-29 05:37:56 ADT,35501e3f-e06c-4cb5-9062-e8611a591cab,3,16,16,5
168.150.100.132,3a33932e-9887-4b81-9490-aca35a8b58c2,2016-06-29 00:14:53 ADT,d224de85-cd41-4f03-bff6-de9815877975,6,14,16,18
12.74.212.73,2fbba381-9354-41ee-997f-b03aed004c27,2016-06-28 19:23:02 ADT,8232ac92-6020-4101-88c0-74d51ea1542b,7,5,12,16
10.65.7.118,1d68b9c2-e8c5-4ed3-afae-50650bc4887e,2016-06-28 21:08:04 ADT,8151ff61-4777-4187-b719-e750b91281c8,3,14,19,13
44.53.33.231,849f679f-02b2-485f-8e0c-66d138bc7bb7,2016-06-28 19:51:56 ADT,c5a5edbb-338d-449a-99cb-1baeba48abb2,3,19,10,9
192.41.186.24,3c2905c7-1561-4683-a885-34fe7f6a2e32,2016-06-28 19:05:27 ADT,db7b9cde-0a4b-459a-a301-88a447410499,5,14,15,10
145.157.137.136,7acbeb5f-ce5f-4805-b24b-6ba979dbd383,2016-06-29 09:06:56 ADT,2536e29e-3570-4d53-be7c-b9d059c632a7,2,2,16,15
231.246.4.49,335e3deb-64bb-4454-b49f-dbbeb0087d16,2016-06-28 17:45:03 ADT,fa005302-61ce-44ca-88a5-015fd4392f37,7,14,12,18
167.96.196.72,6295a04a-196d-49a9-b879-e59e0ae54f11,2016-06-29 02:10:42 ADT,d224de85-cd41-4f03-bff6-de9815877975,6,14,12,14
66.66.0.223,3ef951dd-3101-491b-82d2-9524f014d933,2016-06-29 02:06:22 ADT,b3be9c1c-5712-420d-a359-e9ef0e93c9c5,7,7,14,16
224.132.246.252,5b552447-ee78-4c84-97d6-6078a9351b8b,2016-06-28 22:21:49 ADT,0342f6df-6e8c-48c3-8390-667eb678638b,5,16,5,13
94.92.22.194,f16afb1c-f977-44a4-bf92-9b4009ebab51,2016-06-28 14:12:18 ADT,8232ac92-6020-4101-88c0-74d51ea1542b,8,14,17,6
166.224.30.98,c6379614-8ad6-4318-b21f-8f977ce874ec,2016-06-28 12:53:45 ADT,52073b51-cd51-4438-bd54-3bce3a7c239f,2,11,19,17
107.225.10.253,9bc628b7-e57b-4624-bb76-73f796808ca2,2016-06-28 17:01:34 ADT,8151ff61-4777-4187-b719-e750b91281c8,4,12,7,6
140.223.53.70,71058018-ea7d-4f5a-8b02-8c22b88a4427,2016-06-29 01:43:07 ADT,98279a79-c822-45b4-8429-45ce97a336e5,5,14,6,6
197.212.243.81,4eb26a85-4e57-45c2-969a-9d9dc6bb264c,2016-06-28 23:11:41 ADT,8151ff61-4777-4187-b719-e750b91281c8,8,14,14,14
254.118.151.41,d3c0ca30-8a57-4535-9167-69e950df32ae,2016-06-28 14:37:13 ADT,9e3d54d8-bcea-4bd5-94f5-bd636df152fa,7,12,8,4
100.244.243.255,0ab47f58-2c17-4b8d-9bd1-20ca3b924877,2016-06-29 03:48:11 ADT,8232ac92-6020-4101-88c0-74d51ea1542b,5,11,6,10
48.240.206.11,255b90f8-e6e7-4be3-88de-0e1c35413af5,2016-06-29 02:33:58 ADT,b3be9c1c-5712-420d-a359-e9ef0e93c9c5,5,14,13,18
55.66.238.60,696cbfe6-effb-48c5-aa1a-6a1320174472,2016-06-28 11:38:30 ADT,b3be9c1c-5712-420d-a359-e9ef0e93c9c5,5,13,14,11
60.21.167.133,a2baa715-405b-4f6b-86b4-ec77e30b563e,2016-06-28 15:39:43 ADT,3cc76b74-7d16-4651-9699-34332a56f6e7,1,12,14,16
60.21.167.133,a2baa715-405b-4f6b-86b4-ec77e30b563e,2016-06-28 17:02:31 ADT,db7b9cde-0a4b-459a-a301-88a447410499,6,11,15,10
197.78.7.47,37e52b95-3454-4ba7-bca8-4532b15d22ab,2016-06-28 21:37:12 ADT,e16b762f-d0a2-4e1f-95a2-2ee9985c6aff,5,9,6,4
145.157.137.136,7acbeb5f-ce5f-4805-b24b-6ba979dbd383,2016-06-29 00:45:07 ADT,8151ff61-4777-4187-b719-e750b91281c8,2,14,11,9
103.100.11.222,51643750-454e-4704-9ed8-5df37a7e9a03,2016-06-28 21:12:34 ADT,318e9d5d-53f9-43eb-a9d1-88b5c51687f8,7,11,14,14
123.100.94.89,32c79afe-a76f-4766-a782-0042a6bcb736,2016-06-28 16:27:29 ADT,0342f6df-6e8c-48c3-8390-667eb678638b,4,14,7,18
195.253.189.63,85abf514-5509-4a3c-a1ee-6b10b72f1b72,2016-06-29 08:03:15 ADT,8232ac92-6020-4101-88c0-74d51ea1542b,8,16,14,4
168.150.100.132,3a33932e-9887-4b81-9490-aca35a8b58c2,2016-06-28 13:11:43 ADT,c5a5edbb-338d-449a-99cb-1baeba48abb2,7,12,13,17
166.224.30.98,c6379614-8ad6-4318-b21f-8f977ce874ec,2016-06-28 23:09:00 ADT,318e9d5d-53f9-43eb-a9d1-88b5c51687f8,4,3,1,13
33.74.31.254,b81e57b0-4606-4a6a-848d-2e2d9f77cf72,2016-06-28 09:39:06 ADT,b3be9c1c-5712-420d-a359-e9ef0e93c9c5,7,16,15,10
79.200.199.206,a3ecf55a-6220-428c-8db9-8079d7ebd878,2016-06-29 02:52:25 ADT,0342f6df-6e8c-48c3-8390-667eb678638b,6,15,8,15
145.18.221.103,b395e901-75a6-4005-9df4-edb8a343f87a,2016-06-28 11:49:57 ADT,8151ff61-4777-4187-b719-e750b91281c8,3,16,14,12
50.34.94.184,3ca02581-5742-4d1f-a0ab-aeed545c1275,2016-06-29 05:18:45 ADT,52073b51-cd51-4438-bd54-3bce3a7c239f,1,7,13,2
164.170.92.72,f6bf1522-c2f8-4c2e-af24-9a65ce7d12b0,2016-06-29 01:39:59 ADT,98279a79-c822-45b4-8429-45ce97a336e5,9,6,17,15
13.197.159.253,a3258b81-a235-46a4-a5d1-707b58d8d5f5,2016-06-29 07:25:59 ADT,e16b762f-d0a2-4e1f-95a2-2ee9985c6aff,2,9,11,15
163.96.74.120,72b3074e-88e8-4dd1-9084-3d2bf04a3e90,2016-06-29 09:12:11 ADT,0342f6df-6e8c-48c3-8390-667eb678638b,6,9,10,7
107.10.23.203,fdaa780e-976b-4c42-b25a-15f1cd5f5fe8,2016-06-28 20:58:38 ADT,3cc76b74-7d16-4651-9699-34332a56f6e7,4,9,9,7
107.10.23.203,fdaa780e-976b-4c42-b25a-15f1cd5f5fe8,2016-06-29 05:24:39 ADT,b3be9c1c-5712-420d-a359-e9ef0e93c9c5,3,10,14,3
94.92.22.194,f16afb1c-f977-44a4-bf92-9b4009ebab51,2016-06-28 11:44:58 ADT,7f386bb2-4bbf-4f14-b56e-3dad78f28674,5,11,18,10
167.96.196.72,6295a04a-196d-49a9-b879-e59e0ae54f11,2016-06-28 22:14:19 ADT,50b89ee3-f4cb-46d9-8d5c-319f6a032406,3,12,13,7
145.18.221.103,b395e901-75a6-4005-9df4-edb8a343f87a,2016-06-29 00:14:23 ADT,318e9d5d-53f9-43eb-a9d1-88b5c51687f8,6,14,15,3
181.249.184.32,13162eaf-cf91-4e40-a8e4-3c7a3598c090,2016-06-28 18:26:17 ADT,8de44210-f265-4f16-a94b-8b0eadc0de23,8,14,16,14
12.74.212.73,2fbba381-9354-41ee-997f-b03aed004c27,2016-06-29 02:00:55 ADT,8151ff61-4777-4187-b719-e750b91281c8,7,9,4,17
107.10.23.203,fdaa780e-976b-4c42-b25a-15f1cd5f5fe8,2016-06-28 19:01:38 ADT,98279a79-c822-45b4-8429-45ce97a336e5,6,8,17,6
0.199.32.33,fa1b8375-e2dc-44b8-aaf3-7f9f0fa130a0,2016-06-29 01:22:38 ADT,c5a5edbb-338d-449a-99cb-1baeba48abb2,7,16,7,13
86.193.95.83,0618917f-5112-415d-91d2-f206eae8bd38,2016-06-28 19:01:06 ADT,b3be9c1c-5712-420d-a359-e9ef0e93c9c5,3,8,11,13
63.238.170.201,0c592e15-c7c6-441b-9ee4-71a46608d5cb,2016-06-28 23:45:51 ADT,d224de85-cd41-4f03-bff6-de9815877975,3,13,15,10
0.199.32.33,fa1b8375-e2dc-44b8-aaf3-7f9f0fa130a0,2016-06-28 18:41:21 ADT,2536e29e-3570-4d53-be7c-b9d059c632a7,5,13,12,6
94.92.22.194,f16afb1c-f977-44a4-bf92-9b4009ebab51,2016-06-28 15:08:11 ADT,fa005302-61ce-44ca-88a5-015fd4392f37,7,2,14,13
240.239.146.238,542ad590-4084-4689-8124-503b9aa79f8e,2016-06-28 15:11:25 ADT,9e3d54d8-bcea-4bd5-94f5-bd636df152fa,1,12,12,6
89.213.140.79,3039974d-855d-4bdc-9537-7b4f2730f97f,2016-06-28 09:30:10 ADT,2536e29e-3570-4d53-be7c-b9d059c632a7,6,6,10,4
123.100.94.89,32c79afe-a76f-4766-a782-0042a6bcb736,2016-06-29 03:28:10 ADT,d224de85-cd41-4f03-bff6-de9815877975,4,11,10,12
246.120.142.242,fa441031-7542-4258-82c0-823a08efab5c,2016-06-29 06:54:52 ADT,35501e3f-e06c-4cb5-9062-e8611a591cab,5,7,12,15
